326343

7th
MATH,90,93,93,93,92,94,
ENG,77,75,74,74,78,76,
SCI,80,77,82,78,82,79,
SOC,77,74,72,77,72,74,
PE,95,100,97,98,100,98,
ART,95,92,93,94,92,96,

8th
MATH,93,91,90,88,89,91,
ENG,73,70,70,74,74,71,
SCI,78,82,81,79,83,83,
SOC,79,78,74,75,79,78,
PE,99,100,96,97,98,96,
ART,91,91,96,96,95,93,

9th
MATH,89,85,89,89,88,86,
ENG,70,75,73,72,70,75,
SCI,74,74,77,79,79,77,
SOC,76,75,77,78,75,75,
PE,100,98,96,99,97,100,
ART,93,94,96,91,96,96,

10th
MATH,86,89,84,84,87,89,
ENG,76,76,74,72,74,74,
SCI,78,78,77,75,75,76,
SOC,77,77,75,73,75,75,
PE,98,96,94,95,96,94,
ART,91,93,94,90,95,90,

11th
MATH,86,86,83,82,83,87,
ENG,79,76,77,76,79,79,
SCI,72,77,73,72,77,75,
SOC,73,76,77,75,73,73,
PE,93,93,95,97,94,95,
ART,92,95,91,95,92,93,

12th
MATH,85,88,87,88,87,83,
ENG,81,78,79,80,80,79,
SCI,74,73,70,74,71,71,
SOC,76,72,71,73,73,75,
PE,93,96,96,96,93,97,
ART,92,92,94,91,95,95,
