006084

7th
MATH,83,82,84,87,85,86,
ENG,78,80,77,79,80,79,
SCI,82,83,81,79,79,84,
SOC,89,88,90,89,92,88,
PE,97,98,100,100,97,100,
ART,92,93,94,97,93,96,

8th
MATH,85,83,82,82,84,81,
ENG,83,85,84,84,85,85,
SCI,85,81,84,84,83,85,
SOC,88,87,90,88,89,86,
PE,100,100,97,100,96,96,
ART,96,95,91,95,91,95,

9th
MATH,80,81,81,80,77,77,
ENG,85,84,88,87,84,87,
SCI,84,84,84,85,84,84,
SOC,87,90,87,89,86,87,
PE,95,99,100,95,97,100,
ART,93,94,91,92,92,90,

10th
MATH,84,84,82,82,82,83,
ENG,89,89,91,91,88,91,
SCI,85,84,86,82,82,81,
SOC,86,87,87,87,86,83,
PE,99,99,100,97,100,96,
ART,93,92,89,94,91,93,

11th
MATH,77,76,80,78,78,80,
ENG,86,89,88,89,89,89,
SCI,85,83,85,85,82,86,
SOC,82,82,87,84,86,84,
PE,97,97,95,99,99,97,
ART,91,90,92,90,92,94,

12th
MATH,82,83,79,80,82,78,
ENG,85,83,85,83,83,86,
SCI,86,87,88,84,86,86,
SOC,85,87,84,86,89,88,
PE,96,97,96,95,95,94,
ART,90,90,92,93,89,91,
